Time (UTC-07:00);Side;Action;Amount, POL;Price;Fee;Profit, USDT;Bot profit, USDT
23.12.2025 06:36:31;Buy;GRID order;782;0.10535;-0.03295348 USDT;1.23346;39.44962446
23.12.2025 05:17:51;Buy;GRID order;782;0.10535;-0.03295348 USDT;1.23346;38.24911728
22.12.2025 22:34:17;Buy;GRID order;840;0.1064;-0.0357504 USDT;0.44294;37.0486101
22.12.2025 17:35:58;Sell;DCA order;618;0.10854;-0.02683108 USDT;0;36.64141554
22.12.2025 13:46:31;Sell;DCA order;624;0.10746;-0.02682201 USDT;0;36.66824663
22.12.2025 13:17:28;Buy;GRID order;840;0.1064;-0.0357504 USDT;0.34601;36.69506864
22.12.2025 05:33:09;Sell;DCA order;612;0.10962;-0.02683497 USDT;0;36.38480808
22.12.2025 01:20:31;Sell;DCA order;618;0.10854;-0.02683108 USDT;0;36.41164305
22.12.2025 00:32:42;Sell;DCA order;624;0.10746;-0.02682201 USDT;0;36.43847414
21.12.2025 19:05:52;Buy;GRID order;840;0.1064;-0.0357504 USDT;0.09081;36.46529616
21.12.2025 17:14:18;Sell;DCA order;618;0.10854;-0.02683108 USDT;0;36.41023503
21.12.2025 12:52:04;Sell;DCA order;624;0.10746;-0.02682201 USDT;0;36.43706612
21.12.2025 11:08:04;Sell;DCA order;630;0.1064;-0.0268128 USDT;0;36.46388813
21.12.2025 11:07:48;Sell;Base order;10183;0.10632;-1.19092221 USDT;-0.05695;36.49070093
21.12.2025 11:07:43;Buy;GRID order;840;0.1064;-0.0357504 USDT;0.4049;37.73858315
21.12.2025 09:15:35;Buy;GRID order;840;0.1064;-0.0357504 USDT;2.65718;37.36942918
21.12.2025 07:12:58;Buy;GRID order;840;0.1064;-0.0357504 USDT;2.65718;34.74799465
21.12.2025 06:30:21;Buy;GRID order;840;0.1064;-0.0357504 USDT;2.65718;32.12656013
21.12.2025 06:04:56;Buy;GRID order;725;0.10746;-0.0311634 USDT;1.5249;29.5051256
21.12.2025 05:41:21;Buy;GRID order;718;0.10854;-0.03117268 USDT;0.73474;28.01138534
21.12.2025 01:32:28;Sell;DCA order;612;0.10962;-0.02683497 USDT;0;27.30781758
20.12.2025 19:27:04;Buy;GRID order;718;0.10854;-0.03117268 USDT;0.72758;27.33465256
20.12.2025 01:26:58;Sell;DCA order;600;0.11183;-0.0268392 USDT;0;26.63824436
20.12.2025 00:42:18;Sell;DCA order;606;0.11072;-0.02683852 USDT;0;26.66508356
19.12.2025 20:46:21;Sell;DCA order;612;0.10962;-0.02683497 USDT;0;26.69192209
19.12.2025 14:52:38;Buy;GRID order;718;0.10854;-0.03117268 USDT;0.08962;26.71875707
19.12.2025 12:36:16;Sell;DCA order;612;0.10962;-0.02683497 USDT;0;26.66030376
19.12.2025 12:19:37;Sell;DCA order;618;0.10854;-0.02683108 USDT;0;26.68713873
19.12.2025 11:36:50;Buy;GRID order;725;0.10746;-0.0311634 USDT;0.67645;26.71396982
19.12.2025 10:59:01;Buy;GRID order;725;0.10746;-0.0311634 USDT;0.67645;26.06867749
19.12.2025 09:16:04;Sell;DCA order;612;0.10962;-0.02683497 USDT;0;25.42338516
19.12.2025 08:32:08;Sell;DCA order;618;0.10854;-0.02683108 USDT;0;25.45022014
19.12.2025 08:21:15;Buy;GRID order;725;0.10746;-0.0311634 USDT;0.38405;25.47705123
19.12.2025 08:17:25;Sell;DCA order;612;0.10962;-0.02683497 USDT;0;25.12416209
19.12.2025 08:16:11;Sell;DCA order;618;0.10854;-0.02683108 USDT;0;25.15099706
19.12.2025 08:09:07;Sell;DCA order;624;0.10746;-0.02682201 USDT;0;25.17782815
19.12.2025 07:52:05;Buy;GRID order;840;0.1064;-0.0357504 USDT;0.45219;25.20465017
19.12.2025 07:45:05;Sell;DCA order;624;0.10746;-0.02682201 USDT;0;24.78820864
19.12.2025 03:23:54;Buy;GRID order;782;0.10535;-0.03295348 USDT;1.02523;24.81503065
18.12.2025 22:05:51;Buy;GRID order;782;0.10535;-0.03295348 USDT;1.02523;23.82274745
18.12.2025 20:35:17;Buy;GRID order;782;0.10535;-0.03295348 USDT;1.02523;22.83046425
18.12.2025 18:14:16;Buy;GRID order;656;0.10225;-0.0268304 USDT;2.89364;21.83818105
18.12.2025 17:01:29;Buy;GRID order;650;0.10327;-0.0268502 USDT;2.20417;18.97136636
18.12.2025 14:06:06;Buy;GRID order;650;0.10327;-0.0268502 USDT;2.20417;16.79403774
18.12.2025 12:52:16;Buy;GRID order;656;0.10225;-0.0268304 USDT;2.89364;14.61670911
18.12.2025 12:41:00;Buy;GRID order;650;0.10327;-0.0268502 USDT;2.20417;11.74989442
18.12.2025 12:34:01;Buy;GRID order;687;0.1043;-0.02866164 USDT;1.62203;9.57256579
18.12.2025 12:16:09;Buy;GRID order;687;0.1043;-0.02866164 USDT;1.62203;7.97918997
18.12.2025 11:55:24;Buy;GRID order;687;0.1043;-0.02866164 USDT;1.62203;6.38581414
18.12.2025 11:46:57;Buy;GRID order;782;0.10535;-0.03295348 USDT;1.02523;4.79243832
18.12.2025 10:25:33;Buy;GRID order;687;0.1043;-0.02866164 USDT;1.62203;3.80015512
18.12.2025 10:23:35;Buy;GRID order;643;0.1043;-0.02682596 USDT;1.51815;2.20677929
18.12.2025 10:20:28;Buy;GRID order;782;0.10535;-0.03295348 USDT;1.02523;0.71545373
18.12.2025 10:18:14;Buy;GRID order;637;0.10535;-0.02684318 USDT;0.83513;-0.27682945
18.12.2025 10:15:29;Buy;GRID order;840;0.1064;-0.0357504 USDT;0.21927;-1.08512152
18.12.2025 07:01:32;Sell;DCA order;600;0.11183;-0.0268392 USDT;0;-1.26864838
18.12.2025 06:46:25;Sell;DCA order;606;0.11072;-0.02683852 USDT;0;-1.24180918
18.12.2025 06:30:42;Sell;DCA order;612;0.10962;-0.02683497 USDT;0;-1.21497065
18.12.2025 06:02:00;Sell;DCA order;618;0.10854;-0.02683108 USDT;0;-1.18813567
18.12.2025 01:24:14;Sell;DCA order;624;0.10746;-0.02682201 USDT;0;-1.16130458
18.12.2025 00:01:06;Sell;DCA order;630;0.1064;-0.0268128 USDT;0;-1.13448257
17.12.2025 23:34:00;Sell;Base order;9524;0.10573;-1.10766977 USDT;0;-1.10766977
